status,parameter_provenance,n_air,n_glass,n_water,camera_to_inner_interface_m,glass_thickness_m,field_band,disparity_band,correspondence_count,z_left_camera_median,z_left_camera_mean,ray_gap_median,relative_to_custom_pinhole_median,relative_to_custom_pinhole_p95
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.003,mid_fov,near_disparity,429,2.742926083738052,2.7457182160466815,0.0019067411946527785,0.30233622373993785,0.3225806442241718
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.003,near_edge,far_disparity,339,3.107373750932609,3.225179719014577,0.001598566179866329,0.33112806442830234,0.38698127505315666
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.003,near_edge,mid_disparity,353,2.8735190803887103,2.8725446550103966,0.0011461401070165435,0.3162164587144267,0.33986632754947477
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.003,near_edge,near_disparity,268,2.767387298842185,2.7663336575795854,0.0036684686558641506,0.3194352009207405,0.4329686237623473
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.005,central,far_disparity,39,3.008706928538351,3.0482477862293402,0.002258037503162226,0.28476496184206,0.2884335502268037
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.005,central,mid_disparity,104,2.843177117945926,2.8434677800450863,0.0016839732951891128,0.2852436518728102,0.2897650476876565
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.005,central,near_disparity,96,2.730283940026177,2.7386607327084964,0.0017222035394894543,0.2881673056555105,0.2938687410416419
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.005,mid_fov,far_disparity,415,3.029303122740921,3.109296973502676,0.0014778615475940303,0.29748200312788575,0.3182862241460438
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.005,mid_fov,mid_disparity,335,2.8519504703273686,2.851765640747528,0.0016881637054678275,0.297255508695105,0.319288226370514
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.005,mid_fov,near_disparity,429,2.7430963083743376,2.7458909919946297,0.0019067933117619244,0.30241911693081525,0.3226686149326338
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.005,near_edge,far_disparity,339,3.1075628909128508,3.225360766304194,0.0015989857939655288,0.3312097679410275,0.3870624003768256
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.005,near_edge,mid_disparity,353,2.8736979645055647,2.8727219384582825,0.001146367550262095,0.31629751174064924,0.33995054911519995
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.005,near_edge,near_disparity,268,2.767565305623249,2.766513734239214,0.003668621316708822,0.3195153613738172,0.4330758449356228
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.008,central,far_disparity,39,3.0089525158409263,3.04849387982379,0.0022580343702471523,0.2848698795362927,0.2885437196433823
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.008,central,mid_disparity,104,2.8434273627809588,2.8437163402513903,0.001683983868672495,0.28535641005113044,0.2898801358768043
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.008,central,near_disparity,96,2.7305367567045984,2.7389113257355575,0.001722169553067085,0.2882859789991449,0.2939911437225821
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.008,mid_fov,far_disparity,415,3.0295627056461165,3.1095520816371303,0.0014775039642083501,0.2975927104820979,0.3184067912882687
